           [,1]       [,2] [,3]
 [1,] 18.152254 3.41186899    1
 [2,] 15.302994 2.57973220    1
 [3,] 16.541584 3.28020037    1
 [4,] 22.064053 4.49229663    1
 [5,]  7.488511 1.03789438    1
 [6,] 20.934713 3.74313450    1
 [7,] 11.065294 1.51856284    1
 [8,] 20.256247 3.81702587    1
 [9,] 13.461166 2.22511773    1
[10,] 11.437603 1.48389144    1
[11,] 23.233155 4.39446364    1
[12,] 19.830897 3.88946532    1
[13,] 21.407585 4.05117179    1
[14,]  6.709069 0.86735390    1
[15,] 26.139750 4.87093208    1
[16,] 21.164835 4.20863310    1
[17,] 10.557258 1.79957999    1
[18,] 23.615435 4.42186373    1
[19,] 12.661919 2.18605550    1
[20,] 23.361136 4.46852810    1
[21,] 13.803769 2.21134599    1
[22,] 22.376087 4.31396859    1
[23,] 17.342082 2.93704815    1
[24,] 12.625864 1.75463470    1
[25,] 20.932323 3.97545508    1
[26,] 12.060223 1.57467708    1
[27,] 13.835598 2.39447782    1
[28,] 13.993266 2.19556418    1
[29,]  4.445578 0.08889312    1
[30,]  8.047961 0.67339907    1
[31,] 12.804842 0.87861917    2
[32,] 20.521082 2.90843551    2
[33,] 19.211896 2.29293962    2
[34,] 24.767441 3.73364304    2
[35,] 23.438638 3.53585506    2
[36,] 14.026262 0.98879732    2
[37,]  7.318688 0.04804378    2
[38,] 10.142194 0.67554043    2
[39,] 17.520276 2.23510143    2
[40,] 15.759956 1.43475582    2
[41,] 29.383583 4.97937907    2
[42,] 22.279828 3.09478721    2
[43,]  7.343351 0.23612768    2
[44,] 11.206152 0.50327354    2
[45,] 29.192503 4.74915647    2
[46,] 20.345443 3.53876794    2
[47,] 26.570673 4.37498528    2
[48,] 24.892460 4.13006666    2
[49,] 12.909162 0.79869718    2
[50,] 15.552776 1.94096429    2
[51,] 25.075861 4.04258700    2
[52,] 27.074682 4.64787341    2
[53,] 18.592400 2.64130064    2
[54,] 12.336775 0.88255679    2
[55,] 17.010443 1.76770292    2
[56,] 11.519334 0.44828206    2
[57,] 11.680035 0.67317399    2
[58,] 12.639595 0.69423625    2
[59,] 15.188367 1.31112394    2
[60,] 15.403116 1.19889034    2
[61,] 27.765007 3.42391383    3
[62,] 31.628610 4.56165437    3
[63,] 18.536779 1.44748906    3
[64,] 20.459569 1.82981997    3
[65,] 21.864325 2.46580914    3
[66,] 28.956081 4.15478997    3
[67,] 18.847276 1.43135407    3
[68,] 21.923317 2.43590145    3
[69,] 29.793229 4.24405765    3
[70,] 22.983059 2.74889195    3
[71,] 19.513727 1.90503438    3
[72,] 13.415529 0.38218048    3
[73,] 31.197500 4.94183505    3
[74,] 25.404069 2.96265676    3
[75,] 23.770616 2.73065303    3
[76,] 20.641059 1.83065188    3
[77,] 19.479421 1.65180853    3
[78,] 16.738654 1.34980996    3
[79,] 18.038214 1.86539871    3
[80,] 20.834928 2.07648780    3
[81,] 16.706509 0.70019956    3
[82,] 27.429936 3.79557387    3
[83,] 16.450503 0.96793852    3
[84,] 31.429264 4.46938819    3
[85,] 27.602400 3.69666657    3
[86,] 16.771704 1.11640908    3
[87,] 20.655153 1.52406176    3
[88,] 19.332766 1.60650307    3
[89,] 29.526457 3.74826165    3
[90,] 27.225258 3.32359614    3
